Summary,Issue Type,Priority,Severity,Description,Steps to Reproduce,Expected Result,Actual Result
Footer social icons not linked,Bug,High,Critical,"Social media icons in the footer appear but have no links, causing broken UX.",Scroll to footer -> Hover/click icons,Icons should open correct social pages or be removed.,Icons are placeholders and not clickable.
External link peppermint.de opens in same tab,Bug,High,Major,External link opens in same tab instead of new tab.,Click peppermint.de link,Link should open in new tab.,Link opens in same window.
Multiple spelling and grammar errors in job description,Bug,Medium,Major,"Typos such as 'quailfication', 'Excellein', 'f0cused'.",Review job description,Content should be grammatically correct.,Multiple typos found.
Phone numbers not clickable,Bug,Medium,Major,Phone numbers missing tel: links.,Click phone number,Click-to-call should open dialer.,Phone number is plain text.
Email not clickable,Bug,Medium,Major,"Email is plain text, not mailto link.",Click email address,Mail client should open.,Email not clickable.
Images missing alt text,Bug,Medium,Major,Images missing alt attributes.,Inspect with DevTools,Images should have alt text.,Alt text missing.
Keyboard focus states missing,Bug,Medium,Major,Focus outline missing for keyboard navigation.,Press TAB repeatedly,Visible focus indicator expected.,Focus not visible.
Team section crowding on small screens,Improvement,Low,Minor,Text crowds on 320px width.,Simulate mobile view,Text readable at all widths.,Text cramped.
Missing meta description,Improvement,Low,Minor,Meta description missing or minimal.,Inspect page head,Meta description should exist.,Description missing.
Favicon missing,Bug,Low,Trivial,Site lacks favicon.,Load site,Favicon should appear.,No favicon displayed.
Image credit links inconsistent,Bug,Low,Minor,Image credits unclear/placeholder.,Check footer credits,Links should be correct.,Credits appear unclear.
Page does not enforce HTTPS,Bug,Medium,Major,HTTP may not redirect to HTTPS.,Open http version,Should auto-redirect to HTTPS.,Redirection inconsistent.
Hero text overlaps on narrow screens,Bug,Medium,Minor,Text overlaps at <360px width.,Simulate 360px,Text should not overlap.,Text overlaps.
Placeholder footer content,Bug,Low,Minor,Footer contains placeholder demo content.,Scroll to footer,Should contain final legal text.,Placeholder content present.
